/Objects,EName,Weight,IconID,Level,Name,Description,Characteristic//包含了所有特性,Tag,Price,Time,InitChoose
1000,Water,2,1000,0,水,基础资源，可收集雨水得到,Mass:6|Quality:1,Ingredient|Water,12,1,1
1001,WareTire,100,1001,12,轮胎,汽车行驶的必需品,Distance:0_0|ScrapMileage:3000_8000,,50,30,1
1002,Gas,1,1002,0,汽油,汽车行驶的必需品,,,1,30,1
1003,Ammo,1,1003,10,弹药,开枪需要消耗的物资,,,10,2,1
1006,Gear,1,1006,5,零件,基础货币,,,1,30,1
1007,Food,2,1007,0,口粮,不是很好吃，可烹饪加热,Mass:100|Quality:0|HungryReduce:95|MoodReduce:-1,Food|Ingredient,50,30,1
1008,Book,1,1008,30,书籍,基础资源，可用于升级和学习配方,,,10,5,1
1009,Material,300,1009,10,建材,城建基础资源,,,250,180,1
1010,Wine,3,1010,10,蒸馏酒,可饮用降压,MoodReduce:80|DrinkTime:120,Wine,125,180,1
1011,Coffee,3,1011,0,咖啡,可饮用，可作为烹饪原料,Mass:100|Quality:40,Ingredient|Water,125,30,1
1012,Medic,8,1012,15,医疗箱,可用于治疗,CureSuccess:100|CureTime:0|CureHP:20,Medicine,300,180,1
1013,Core,200,1013,20,核心,升级车辆和高级配件要用到的原料,,,3000,300,
1014,Wheat,1,1014,0,小麦,一种一级资源,,,25,30,1
1015,Sugercane,1,1015,0,甘蔗,一种一级资源,,,25,30,1
1016,Fruit,1,1016,0,水果,可食用，可作为烹饪原料,Mass:25|Quality:8|HungryReduce:35|MoodReduce:3,Ingredient|Fruit|Food|Water,25,30,1
1017,Vegetable,1,1017,0,蔬菜,可食用，可作为烹饪原料,Mass:25|Quality:8|HungryReduce:35|MoodReduce:3,Ingredient|Vegetable|Food,25,30,1
1018,Wood,8,1018,0,木材,一种一级资源，可以烧制木炭,,,25,30,1
1019,TeaLeaf,1,1019,0,茶鲜叶,一种一级资源,,,50,30,1
1020,Spice,1,1020,0,香料,烹饪原料,Mass:0|Quality:32,Ingredient|BaseSalt,50,30,1
1021,CoffeeBean,1,1021,0,咖啡豆,一种一级资源,,,50,30,1
1022,MedicMaterial,1,1022,0,药材,可作为烹饪原料,Mass:15|Quality:27,Ingredient,50,30,1
1023,Cotton,4,1023,0,棉线,一种一级资源,,,50,30,1
1024,Rubber,4,1024,0,橡胶,一种一级资源,,,25,30,1
1025,Honey,2,1025,0,蜂蜜,可食用，可作为烹饪原料,Mass:80|Quality:56|HungryReduce:100|MoodReduce:40,Ingredient|BaseSweets|Food,125,30,1
1026,Chicken,2,1026,0,鸡肉,可食用，可作为烹饪原料,Mass:105|Quality:8|HungryReduce:115|MoodReduce:-3,Ingredient|Meat|Food,64,30,1
1027,Egg,2,1027,0,鸡蛋,可食用，可作为烹饪原料,Mass:70|Quality:16|HungryReduce:100|MoodReduce:5,Ingredient|Egg|Food,64,30,1
1028,Milk,2,1028,0,牛奶,可食用，可作为烹饪原料,Mass:70|Quality:16|HungryReduce:100|MoodReduce:5,Ingredient|Milk|Food|Water,64,30,1
1029,Rawhide,6,1029,0,生皮,一种一级资源,,,125,30,1
1030,Pork,2,1030,0,猪肉,可食用，可作为烹饪原料,Mass:80|Quality:16|HungryReduce:115|MoodReduce:-3,Ingredient|Meat|Food,64,30,1
1031,MineralPower,4,1031,0,矿粉,一种一级资源,,,5,30,1
1032,Charcoal,4,1032,0,木炭,一种一级资源，可以用来烧水，由木材烧制,,,30,30,1
1033,Flour,2,1033,0,面粉,烹饪原料,Mass:20|Quality:10,Ingredient,25,30,1
1034,Sugar,1,1034,0,糖,烹饪原料,Mass:5|Quality:15,Ingredient|BaseSweets,25,30,1
1035,Salt,1,1035,0,食盐,烹饪原料,Mass:6|Quality:16,Ingredient|BaseSalt,28,30,1
1036,DriedVegetable,1,1036,0,脱水菜,可食用，可作为烹饪原料,Mass:80|Quality:24|HungryReduce:135|MoodReduce:0,Ingredient|Vegetable|Food,75,30,1
1037,ChickenJerky,1,1037,0,鸡肉干,可食用,HungryReduce:90|MoodReduce:0,Food,50,30,1
1038,Bacon,1,1038,0,腌肉,可食用，可作为烹饪原料,Mass:60|Quality:14|HungryReduce:80|MoodReduce:3,Ingredient|Meat|Food,50,30,1
1039,CannedFruit,1,1039,0,水果罐头,可食用，可作为烹饪原料,Mass:70|Quality:25|HungryReduce:100|MoodReduce:12,Ingredient|Fruit|Food|Water,75,30,1
1040,WheatWine,3,1040,0,小麦啤,可饮用，可作为烹饪原料,Mass:80|Quality:80|MoodReduce:64|DrinkTime:30,Ingredient|Wine,164,30,1
1041,Tea,1,1041,0,茶,可作为烹饪原料,Mass:15|Quality:16,Ingredient|Tea,32,30,1
1042,PatentMedicine,3,1042,0,成药,可用于治疗,CureSuccess:50|CureTime:75|CureHP:10,Medicine,175,30,1
1043,Textile,7,1043,0,织物,一种一级资源,,,70,30,1
1044,TraumaticOintment,5,1044,0,外伤膏,可用于治疗,CureSuccess:75|CureTime:60|CureHP:15,Medicine,144,30,1
1045,Jewelry,15,1045,0,首饰,一种名贵资源,,,500,30,1
1046,Bread,1,1046,0,面包,可食用，可作为烹饪原料,Mass:40|Quality:20|HungryReduce:85|MoodReduce:2,Ingredient|Food,50,30,1
1047,FruitWine,5,1047,0,果酒,可饮用，可作为烹饪原料,Mass:80|Quality:80|MoodReduce:30|DrinkTime:10,Ingredient|Wine,164,30,1
1048,WaterPurifier,10,1048,0,净水器 ,一种跑商商品，可以用来净化污水,,,126,30,1
1049,Flavoring,1,1049,0,调味料,烹饪原料,Mass:0|Quality:55,Ingredient|BaseSalt,90,30,1
1050,Clothing,15,1050,0,衣服,一种跑商商品,,,310,30,1
1051,Snickers,1,1051,0,能量棒,可食用,HungryReduce:150|MoodReduce:0,Food,85,30,1
1052,Leather,9,1052,0,皮革,一种跑商商品,,,190,30,1
1053,Cheese,2,1053,0,奶酪,可食用，可作为烹饪原料,Mass:100|Quality:35|HungryReduce:120|MoodReduce:22,Ingredient|Milk|Food,105,30,1
1054,Ham,2,1054,0,火腿,可食用，可作为烹饪原料,Mass:100|Quality:35|HungryReduce:120|MoodReduce:22,Ingredient|Meat|Food,105,30,1
1055,Crab,3,1055,0,螃蟹,可食用，可作为烹饪原料,Mass:50|Quality:3|HungryReduce:50|MoodReduce:-6,Ingredient|RiverDelicacies|CanFishing|Food,30,30,
1056,Shrimp,3,1056,0,大虾,可食用，可作为烹饪原料,Mass:50|Quality:3|HungryReduce:50|MoodReduce:-6,Ingredient|RiverDelicacies|CanFishing|Food,30,30,
1057,Fish,3,1057,0,鱼,可食用，可作为烹饪原料,Mass:50|Quality:3|HungryReduce:50|MoodReduce:-6,Ingredient|RiverDelicacies|CanFishing|Food,30,30,
1058,Rabbit,3,1058,0,兔肉,可食用，可作为烹饪原料,Mass:40|Quality:3|HungryReduce:50|MoodReduce:-6,Ingredient|Game|CanHunt|Food,25,30,
1059,RoeDeer,3,1059,0,狍子肉,可食用，可作为烹饪原料,Mass:40|Quality:3|HungryReduce:50|MoodReduce:-6,Ingredient|Game|CanHunt|Food,25,30,
1060,Quail,3,1060,0,鹌鹑肉,可食用，可作为烹饪原料,Mass:40|Quality:3|HungryReduce:40|MoodReduce:-6,Ingredient|Game|CanHunt|Food,25,30,
1061,Termitomyces,3,1061,0,鸡枞,可食用，可作为烹饪原料,Mass:36|Quality:0|HungryReduce:36|MoodReduce:-10,Ingredient|Mushroom|CanCollect|Food,18,30,
1062,Morel,3,1062,0,羊肚菌,可食用，可作为烹饪原料,Mass:36|Quality:0|HungryReduce:36|MoodReduce:-10,Ingredient|Mushroom|CanCollect|Food,18,30,
1063,PineMushrooms,3,1063,0,松茸,可食用，可作为烹饪原料,Mass:36|Quality:0|HungryReduce:36|MoodReduce:-10,Ingredient|Mushroom|CanCollect|Food,18,30,
1064,Shellfish,3,1064,0,扇贝,可食用，可作为烹饪原料,Mass:40|Quality:0|HungryReduce:40|MoodReduce:-6,Ingredient|RiverDelicacies|CanFishing|Food,20,30,
1065,Clam,3,1065,0,小河虾,可食用，可作为烹饪原料,Mass:40|Quality:0|HungryReduce:40|MoodReduce:-6,Ingredient|RiverDelicacies|CanFishing|Food,20,30,
1066,Sparrow,3,1066,0,杂雀肉,可食用，可作为烹饪原料,Mass:32|Quality:0|HungryReduce:32|MoodReduce:-6,Ingredient|Game|CanHunt|Food,16,30,
1067,Pheasant,3,1067,0,雉鸡肉,可食用，可作为烹饪原料,Mass:32|Quality:0|HungryReduce:32|MoodReduce:-6,Ingredient|Game|CanHunt|Food,16,30,
1068,Volvacea,3,1068,0,草菇,可食用，可作为烹饪原料,Mass:25|Quality:0|HungryReduce:25|MoodReduce:-10,Ingredient|Mushroom|CanCollect|Food,12,30,
1069,OysterMushroom,3,1069,0,平菇,可食用，可作为烹饪原料,Mass:25|Quality:0|HungryReduce:25|MoodReduce:-10,Ingredient|Mushroom|CanCollect|Food,12,30,
1070,HumanMeat,1,1070,0,人肉,可食用，可作为烹饪原料,Mass:100|Quality:-30|HungryReduce:90|MoodReduce:-30,Ingredient|HumanMeat|Food,100,30,
1071,ZombieMeat,1,1071,0,丧尸肉,可食用，可作为烹饪原料,Mass:100|Quality:-15|HungryReduce:90|MoodReduce:-15,Ingredient|HumanMeat|Food,100,30,
1072,Relics,5,1072,0,文物,一种名贵资源,,,700,30,
1073,OldEraCircuits,5,1073,0,旧时代电路,一种名贵资源,,,1500,30,
1074,DirtyWater,2,1074,0,脏水,不能饮用，可以在营地煮熟,,,1,1,
1075,Scorpion,1,1075,0,蝎子,一种跑商物品，也许可以用来做药材?,,CanCollect,8,30,
1076,Millipede,1,1076,0,马陆,一种跑商物品，也许可以用来做药材?,,CanCollect,8,30,
1077,GoldenBeetle,1,1077,0,金步甲,一种跑商物品，也许可以用来做药材?,,CanCollect,12,30,
1078,BlindFish,3,1078,0,盲鱼,一种跑商物品，好像没法吃,Mass:30|Quality:0|HungryReduce:30|MoodReduce:-4,Ingredient|RiverDelicacies|CanFishing|Food,15,30,
1079,CrystalShrimp,3,1079,0,水晶虾,一种跑商物品，好像没法吃,Mass:30|Quality:0|HungryReduce:30|MoodReduce:-4,Ingredient|RiverDelicacies|CanFishing|Food,15,30,
1080,Goldthread,3,1080,0,金线鱼,一种跑商物品，好像没法吃,Mass:40|Quality:0|HungryReduce:40|MoodReduce:-6,Ingredient|RiverDelicacies|CanFishing|Food,20,30,
1081,CaveSnack,3,1081,0,穴蛇,一种跑商物品，也许可以用来做药材?,,CanHunt,15,30,
1082,HangingBat,3,1082,0,吊蝠,一种跑商物品，也许可以用来做药材?,,CanHunt,15,30,
1083,BloodSalamander,3,1083,0,血蝾螈,一种跑商物品，也许可以用来做药材?,,CanHunt,20,30,
1084,Light,20,1084,0,探照灯,携带时，增加1地下城探测范围,DungeonLight:1,,1500,30,
1085,EnergyDrink,1,1076,0,能量饮料,可食用，并可带入地牢,HungryReduce:150|MoodReduce:20,Food,100,30,
1086,Biscuit,1,1077,0,压缩饼干,可食用，并可带入地牢,HungryReduce:150|MoodReduce:20,Food,100,30,
1087,HeatDetector,10,1087,0,便携式探测器,【遗迹探索】成员携带时，小队无视未探索区域带来的额外行动力消耗,,DungeonExplorerRemoveExtraMovement,100,30,
1088,Tranquilizer,1,1088,0,镇定食物,可使用，降低成员压力,HungryReduce:10|MoodReduce:80,Food,125,30,
1089,RPG,100,1089,0,遗迹武器,从遗迹里发现的武器，似乎可以制造非常大规模的破坏，不过只有一发,,,1,1,
,,,,,,,,,,,
2000,Cargo0,500,2000,0,信件箱,信件箱,,,,,
2001,Cargo1,800,2001,0,快递货柜,快递货柜,,,,,
2002,Cargo2,1000,2002,0,箱装工艺品,一箱工艺品,,,,,
2003,Cargo3,600,2003,0,箱装自行车,一箱自行车,,,,,
2004,Cargo4,1200,2004,0,箱装家电,一箱家电,,,,,
2005,Cargo5,800,2005,0,大桶颜料,一大桶颜料,,,,,
